id,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Image
29,21,Spearow,Normal Flying,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
30,22,Fearow,Normal Flying,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
31,23,Ekans,Poison,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
32,24,Arbok,Poison,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
33,25,Pikachu,Electric,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
34,25,Partner Pikachu,Electric,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
35,26,Raichu,Electric,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
36,26,Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
37,27,Sandshrew,Ground,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
38,27,Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
39,28,Sandslash,Ground,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
40,28,Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
41,29,Nidoran♀,Poison,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
42,30,Nidorina,Poison,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
43,31,Nidoqueen,Poison Ground,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
44,32,Nidoran♂,Poison,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
45,33,Nidorino,Poison,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
46,34,Nidoking,Poison Ground,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
47,35,Clefairy,Fairy,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
48,36,Clefable,Fairy,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
49,37,Vulpix,Fire,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
50,37,Alolan Vulpix,Ice,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
51,38,Ninetales,Fire,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
52,38,Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
53,39,Jigglypuff,Normal Fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
54,40,Wigglytuff,Normal Fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
55,41,Zubat,Poison Flying,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
56,42,Golbat,Poison Flying,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
57,43,Oddish,Grass Poison,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
58,44,Gloom,Grass Poison,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
59,45,Vileplume,Grass Poison,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
60,46,Paras,Bug Grass,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
61,47,Parasect,Bug Grass,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
62,48,Venonat,Bug Poison,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
63,49,Venomoth,Bug Poison,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
64,50,Diglett,Ground,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
65,50,Alolan Diglett,Ground Steel,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
66,51,Dugtrio,Ground,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
67,51,Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
68,52,Meowth,Normal,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
69,52,Alolan Meowth,Dark,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
70,52,Galarian Meowth,Steel,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
71,53,Persian,Normal,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
72,53,Alolan Persian,Dark,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
73,54,Psyduck,Water,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
74,55,Golduck,Water,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
75,56,Mankey,Fighting,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
76,57,Primeape,Fighting,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
77,58,Growlithe,Fire,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
78,58,Growlithe Hisuian Growlithe,Fire Rock,350,60,75,45,65,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png
79,59,Arcanine,Fire,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
80,59,Arcanine Hisuian Arcanine,Fire Rock,555,95,115,80,95,80,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png
81,60,Poliwag,Water,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
82,61,Poliwhirl,Water,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
83,62,Poliwrath,Water Fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
84,63,Abra,Psychic,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
85,64,Kadabra,Psychic,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
86,65,Alakazam,Psychic,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
87,65,Alakazam Mega Alakazam,Psychic,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
88,66,Machop,Fighting,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
89,67,Machoke,Fighting,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
90,68,Machamp,Fighting,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
91,69,Bellsprout,Grass Poison,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
92,70,Weepinbell,Grass Poison,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
93,71,Victreebel,Grass Poison,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
94,72,Tentacool,Water Poison,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
95,73,Tentacruel,Water Poison,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
96,74,Geodude,Rock Ground,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
97,74,Geodude Alolan Geodude,Rock Electric,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
98,75,Graveler,Rock Ground,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
99,75,Graveler Alolan Graveler,Rock Electric,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
100,76,Golem,Rock Ground,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
101,76,Golem Alolan Golem,Rock Electric,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
102,77,Ponyta,Fire,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
103,77,Ponyta Galarian Ponyta,Psychic,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
104,78,Rapidash,Fire,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
105,78,Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
106,79,Slowpoke,Water Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
107,79,Slowpoke Galarian Slowpoke,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png
108,80,Slowbro,Water Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
109,80,Slowbro Mega Slowbro,Water Psychic,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
110,80,Slowbro Galarian Slowbro,Poison Psychic,490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png
111,81,Magnemite,Electric Steel,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
112,82,Magneton,Electric Steel,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
113,83,Farfetch'd,Normal Flying,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
114,83,Farfetch'd Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
115,84,Doduo,Normal Flying,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
116,85,Dodrio,Normal Flying,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
117,86,Seel,Water,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
118,87,Dewgong,Water Ice,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
119,88,Grimer,Poison,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
120,88,Grimer Alolan Grimer,Poison Dark,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
121,89,Muk,Poison,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
122,"Alolan Muk""",Poison Dark,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,
123,90,Shellder,Water,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
124,91,Cloyster,Water Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
125,92,Gastly,Ghost Poison,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
126,93,Haunter,Ghost Poison,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
127,94,Gengar,Ghost Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
128,94,Gengar Mega Gengar,Ghost Poison,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
129,95,Onix,Rock Ground,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
130,96,Drowzee,Psychic,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
131,97,Hypno,Psychic,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
132,98,Krabby,Water,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
133,99,Kingler,Water,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
134,100,Voltorb,Electric,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
135,100,Voltorb Hisuian Voltorb,Electric Grass,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png
136,101,Electrode,Electric,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
137,101,Electrode Hisuian Electrode,Electric Grass,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png
138,102,Exeggcute,Grass Psychic,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
139,103,Exeggutor,Grass Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
140,103,Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
141,104,Cubone,Ground,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
142,105,Marowak,Ground,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
143,105,Marowak Alolan Marowak,Fire Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
144,106,Hitmonlee,Fighting,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
145,107,Hitmonchan,Fighting,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
146,108,Lickitung,Normal,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
147,109,Koffing,Poison,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
148,110,Weezing,Poison,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
149,110,Weezing Galarian Weezing,Poison Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
150,111,Rhyhorn,Ground Rock,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
151,112,Rhydon,Ground Rock,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
152,113,Chansey,Normal,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
153,114,Tangela,Grass,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
154,115,Kangaskhan,Normal,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
155,115,Kangaskhan Mega Kangaskhan,Normal,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
156,116,Horsea,Water,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
157,117,Seadra,Water,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
158,118,Goldeen,Water,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
159,119,Seaking,Water,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
160,120,Staryu,Water,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
161,121,Starmie,Water Psychic,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
162,122,Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
163,122,Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
164,123,Scyther,Bug Flying,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
165,124,Jynx,Ice Psychic,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
166,125,Electabuzz,Electric,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
167,126,Magmar,Fire,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
168,127,Pinsir,Bug,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
169,127,Pinsir Mega Pinsir,Bug Flying,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
170,128,Tauros,Normal,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
171,128,Tauros Combat Breed,Fighting,490,75,110,105,30,70,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png
172,128,Tauros Blaze Breed,Fighting Fire,490,75,110,105,30,70,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png
173,128,Tauros Aqua Breed,Fighting Water,490,75,110,105,30,70,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png
174,129,Magikarp,Water,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
175,130,Gyarados,Water Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
176,130,Gyarados Mega Gyarados,Water Dark,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
177,131,Lapras,Water Ice,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
178,132,Ditto,Normal,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
179,133,Eevee,Normal,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
180,133,Eevee Partner Eevee,Normal,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
181,134,Vaporeon,Water,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
182,135,Jolteon,Electric,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
183,136,Flareon,Fire,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
184,137,Porygon,Normal,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
185,138,Omanyte,Rock Water,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
186,139,Omastar,Rock Water,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
187,140,Kabuto,Rock Water,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
188,141,Kabutops,Rock Water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
189,142,Aerodactyl,Rock Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
190,142,Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
191,143,Snorlax,Normal,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
192,144,Articuno,Ice Flying,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
193,144,Articuno Galarian Articuno,Psychic Flying,580,90,85,85,125,100,95,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
194,145,Zapdos,Electric Flying,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
195,145,Zapdos Galarian Zapdos,Fighting Flying,580,90,125,90,85,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
196,146,Moltres,Fire Flying,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
197,146,Moltres Galarian Moltres,Dark Flying,580,90,85,90,100,125,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
198,147,Dratini,Dragon,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
199,148,Dragonair,Dragon,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
200,149,Dragonite,Dragon Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
201,150,Mewtwo,Psychic,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
202,150,Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
203,150,Mewtwo Mega Mewtwo Y,Psychic,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
204,151,Mew,Psychic,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
205,152,Chikorita,Grass,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
206,153,Bayleef,Grass,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
207,154,Meganium,Grass,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
208,155,Cyndaquil,Fire,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
209,156,Quilava,Fire,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
210,157,Typhlosion,Fire,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
211,157,Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,78,119,85,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png
212,158,Totodile,Water,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
213,159,Croconaw,Water,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
214,160,Feraligatr,Water,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
215,161,Sentret,Normal,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
216,162,Furret,Normal,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
217,163,Hoothoot,Normal Flying,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
